basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	linenumb	workstat	mainoccu	mainjob	farmstat	nonfarm	hrsjob	benefits	taxes	secndjob	secnoccu	jobsecnd	FARMSTA2	NONFARM2	HRSJOB2	BENEFIT2	TAXES2	hrsdayt	dayswkt	timepay	weektime	REGUJE1	finishp	paypiece	hrsdaypc	dyswekpc	weekpc	REGUJE2	hrsfarm	dywkfarm	wkyrfarm	REGUJE3A	livestok	daywkliv	wkyrlivs	REGUJE3B	expnsto	incmstok	consstok	hrsfish	dywkfish	wkyrfish	REGUJE4	incfish	familbus	typebus	homebus	hrsself	dywkself	wkyrself	REGUJE5	incmself
32	27	27	32	27	27	13281	1	4	1	709	3	-9	1	16.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	140.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
10	236	236	142	3188	236	11358	1	1	1	641	3	-9	1	60.0	0	0	1	203	3	-9	2	7.0	0	0	1.0	7.0	26.67	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	0	-9	-9	14.0	5.0	52.0	1	100.0
10	236	236	142	3188	236	11358	1	2	1	662	3	-9	3	56.0	0	0	1	650	1	-9	3	-9.0	0	0	7.5	7.0	175.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	0	-9	-9	3.5	5.0	52.0	1	-7.0
10	236	236	142	3188	236	11358	1	5	1	932	3	-9	3	48.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	249.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
10	236	236	142	3188	236	11358	1	4	3	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.83	7.0	52.0	1	3600	0	200	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
2	28	28	208	28	28	10149	2	1	1	302	3	-9	1	70.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.5	7.0	52.0	1	7920	800	0	-9.0	-9.0	-9.0	-9	-9.0	1	62	0	10.0	7.0	52.0	1	500.0
2	28	28	208	28	28	10149	2	2	1	302	3	-9	1	84.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	62	0	14.0	7.0	52.0	1	-7.0
3	295	295	3	295	295	10458	1	1	1	239	3	-9	2	40.0	1	1	1	993	3	-9	2	4.0	0	0	8.8	5.0	603.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
3	295	295	3	295	295	10458	1	8	1	321	3	-9	2	60.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	10.0	6.0	423.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
29	17	17	29	17	17	13109	2	2	1	302	3	-9	1	4.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	62	0	4.0	4.0	52.0	1	200.0
29	17	17	29	17	17	13109	2	3	1	713	3	-9	2	32.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	4.0	160.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
29	17	17	29	17	17	13109	2	4	1	762	3	-9	2	48.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	190.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
29	17	17	29	17	17	13109	2	1	3	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	3.0	7.0	52.0	1	10840	8200	2500	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
17	289	289	202	3102	289	12497	1	1	1	781	3	-9	2	48.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	269.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.5	7.0	52.0	1	40000	50000	4000	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
17	289	289	202	3102	289	12497	1	2	1	22	3	-9	2	-9.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	5.0	545.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
17	289	289	202	3102	289	12497	1	4	3	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.16	7.0	52.0	1	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
10	133	133	273	4069	133	11263	1	1	1	23	3	-9	2	40.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	5.0	553.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
10	133	133	273	4069	133	11263	1	3	1	23	3	-9	2	40.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	5.0	454.5	24.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
10	133	133	273	4069	133	11263	1	4	1	762	3	-9	2	84.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	12.0	6.0	230.7	6.0	3	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
20	64	64	20	64	64	12654	2	1	1	450	1	4	-9	36.0	0	0	1	430	1	2	-9	6.0	0	0	9.0	6.0	70.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	2.0	3.0	52	1	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
20	64	64	20	64	64	12654	2	2	1	914	3	-9	2	-9.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	6.0	1.0	50.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.08	7.0	3.0	1	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
20	64	64	20	64	64	12654	2	3	1	914	3	-9	2	8.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	1.0	40.0	2.0	3	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.08	7.0	18.0	1	0	0	500	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
28	168	168	28	168	168	13047	1	1	1	771	3	-9	2	40.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	120.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
28	168	168	28	168	168	13047	1	2	2	335	3	-9	1	-9.0	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	1.0	2.0	16.0	2	0	0	0	-9.0	-9.0	-9.0	-9	-9.0	1	62	0	11.0	7.0	36.0	3	200.0
28	168	168	28	168	168	13047	1	4	1	791	3	-9	2	48.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	100.0	2.0	3	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
18	9	9	18	9	9	12546	2	1	1	430	1	2	-9	49.0	0	0	1	101	3	-9	2	3.0	0	0	1.0	0.25	375.0	9.0	3	-9.0	-9.0	-9.0	-9.0	-9.0	-9	7.0	6.0	52	1	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
28	168	168	28	168	168	13047	1	5	2	335	3	-9	3	-9.0	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	2.0	7.0	52.0	1	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	62	0	2.0	7.0	36.0	3	-9.0
18	9	9	18	9	9	12546	2	2	1	302	3	-9	1	45.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.75	7.0	52.0	1	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	62	1	9.0	7.0	52.0	1	200.0
18	9	9	18	9	9	12546	2	3	1	430	1	5	-9	49.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	7.0	6.0	52	1	1.5	7.0	52.0	1	1440	3600	5000	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
6	108	108	6	108	108	10700	2	2	1	43	3	-9	2	0.33	0	0	1	932	3	-9	2	4.0	0	0	2.0	2.0	62.5	52.0	1	2.0	20.0	0.17	5.0	52.0	1	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
6	108	108	6	108	108	10700	2	6	3	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.17	7.0	52.0	1	720	0	0	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
28	166	166	28	166	166	13045	2	1	1	771	3	-9	2	-9.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	150.0	52.0	2	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.33	7.0	52.0	1	27.719999313354492	23250	2950	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
28	166	166	28	166	166	13045	2	2	1	854	3	-9	2	-9.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	666.67	0.07	6.25	6.0	52.0	1	-9.0	-9.0	-9	-9	4.0	7.0	52.0	1	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
28	166	166	28	166	166	13045	2	3	1	854	3	-9	2	2.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	500.0	0.07	4.0	1.0	52.0	1	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
2	130	130	269	130	130	10237	1	1	1	853	3	-9	2	32.0	0	0	1	335	3	-9	2	3.0	0	0	8.0	4.0	100.0	28.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.25	7.0	52.0	1	528	0	0	-9.0	-9.0	-9.0	-9	-9.0	0	-9	-9	1.0	3.0	52.0	1	100.0
2	130	130	269	130	130	10237	1	2	1	335	3	-9	1	44.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	62	0	10.0	5.0	52.0	1	150.0
