basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
31	39	39	13231	23231	2	9	5	5	7	2	6	1999	8	-9	0	-9
31	39	39	13231	23231	2	10	5	5	7	2	3	2002	5	-9	0	-9
31	39	39	13231	23231	2	11	5	5	7	2	10	2003	4	-9	0	-9
31	39	39	13231	23231	2	12	4	4	6	1	2	2006	1	-9	0	-9
31	39	39	13231	23231	2	13	4	4	6	1	10	1985	22	-9	0	-9
32	26	26	13280	23280	1	9	5	5	7	2	12	1981	25	-9	0	-9
31	39	39	13231	23231	2	14	20	20	22	2	-8	1985	22	-9	0	-9
11	184	184	11517	21517	1	1	0	1	2	1	1	1958	49	-9	0	-9
11	184	184	11517	21517	1	2	1	0	3	2	4	1961	46	6	0	0
13	110	110	11664	21664	2	2	1	0	3	2	7	1959	48	2	0	0
13	110	110	11664	21664	2	3	4	4	6	1	9	1987	20	-9	0	-9
13	110	110	11664	21664	2	4	5	5	7	2	8	1990	17	-9	0	-9
13	165	165	11705	21705	1	1	0	1	2	1	2	1957	50	-9	0	-9
13	165	165	11705	21705	1	2	1	0	3	2	5	1959	48	13	0	0
13	165	165	11705	21705	1	3	5	5	34	2	7	1983	24	15	0	0
13	165	165	11705	21705	1	4	4	4	6	1	9	1984	23	-9	0	-9
13	165	165	11705	21705	1	5	4	4	6	1	5	1987	20	-9	0	-9
13	165	165	11705	21705	1	6	4	4	6	1	11	1998	9	-9	0	-9
13	165	165	11705	21705	1	7	25	14	12	1	7	1981	26	-9	0	-9
13	165	165	11705	21705	1	8	31	31	31	1	3	1981	26	-9	0	-9
30	18	18	13169	23169	1	1	0	1	2	1	11	1957	49	-9	0	-9
30	18	18	13169	23169	1	2	1	0	3	2	12	1955	51	11	0	0
30	18	18	13169	23169	1	3	4	4	34	1	9	1983	24	11	0	0
30	18	18	13169	23169	1	4	4	4	6	1	1	1987	20	-9	0	-9
30	18	18	13169	23169	1	5	5	5	7	2	1	1989	18	-9	0	-9
30	18	18	13169	23169	1	6	5	5	7	2	1	1993	14	-9	0	-9
30	18	18	13169	23169	1	7	4	4	6	1	2	1995	12	-9	0	-9
12	34	34	11543	21543	2	1	0	1	2	1	1	1962	45	-9	0	-9
12	34	34	11543	21543	2	2	1	0	3	2	8	1964	43	6	0	0
12	34	34	11543	21543	2	3	4	4	6	1	4	1994	12	-9	0	-9
13	464	464	11939	21939	2	1	0	1	38	1	8	1962	45	-9	0	-9
13	464	464	11939	21939	2	2	1	0	3	2	9	1962	45	10	0	0
13	464	464	11939	21939	2	3	4	39	43	1	12	1991	15	-9	0	-9
13	464	464	11939	21939	2	4	39	4	41	1	7	1994	13	-9	0	-9
8	24	24	10902	20902	1	1	0	1	2	1	7	1963	44	-9	0	-9
8	24	24	10902	20902	1	2	1	0	3	2	12	1962	45	5	0	0
8	24	24	10902	20902	1	3	5	5	34	2	10	1983	24	13	0	0
8	24	24	10902	20902	1	4	4	4	6	1	12	1986	21	-9	0	-9
13	484	484	11953	21953	1	1	0	0	3	2	1	1947	60	3	0	0
13	484	484	11953	21953	1	2	4	4	6	1	1	1979	28	-9	0	-9
13	484	484	11953	21953	1	3	5	5	34	2	2	1984	23	6	0	0
13	484	484	11953	21953	1	4	4	4	6	1	9	1990	17	-9	0	-9
13	484	484	11953	21953	1	5	9	9	16	2	5	1990	17	-9	0	-9
14	105	105	12058	22058	1	1	0	1	2	1	4	1952	55	-9	0	-9
14	105	105	12058	22058	1	2	1	0	3	2	4	1954	53	6	0	0
14	105	105	12058	22058	1	3	4	4	34	1	2	1984	23	11	1	0
14	105	105	12058	22058	1	4	4	4	6	1	3	1988	19	-9	0	-9
14	105	105	12058	22058	1	5	5	5	7	2	2	1990	17	-9	0	-9
14	105	105	12058	22058	1	6	4	4	6	1	6	1992	15	-9	0	-9
14	105	105	12058	22058	1	7	8	8	15	1	10	1999	8	-9	0	-9
14	105	105	12058	22058	1	8	9	9	16	2	6	2001	6	-9	0	-9
14	105	105	12058	22058	1	9	9	9	16	2	9	2002	5	-9	0	-9
14	105	105	12058	22058	1	10	9	9	16	2	8	2004	3	-9	0	-9
13	468	468	11943	21943	2	1	0	0	3	2	7	1945	62	2	0	0
13	468	468	11943	21943	2	2	5	5	7	2	2	1976	31	-9	0	-9
13	468	468	11943	21943	2	3	8	8	15	1	11	2003	4	-9	0	-9
32	2	2	13259	23259	1	1	0	1	2	1	1	1952	55	-9	0	-9
32	2	2	13259	23259	1	2	1	0	3	2	4	1955	52	3	0	0
32	2	2	13259	23259	1	3	4	4	34	1	5	1983	24	0	0	0
32	2	2	13259	23259	1	4	4	4	6	1	6	1991	16	-9	0	-9
32	2	2	13259	23259	1	5	4	4	6	1	5	1995	12	-9	0	-9
28	168	168	13047	23047	2	1	0	1	2	1	11	1954	53	-9	0	-9
28	168	168	13047	23047	2	2	1	0	3	2	3	1958	49	1	0	0
28	168	168	13047	23047	2	3	4	4	6	1	12	1985	22	-9	0	-9
