basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	mommain	mainplac	brgymain	munimain	mainhrs	DOJOB1	secnjob	momsecnd	secnplac	brgysecn	munisecn	secnhrs	DOJOB2	benefits	volbenef	everofw	JOBLOC1	OFWTYPE1	OFWSMON1	OFWSYR1	OFWEMON1	OFWEYR1	JOBLOC2	OFWTYPE2	OFWSMON2	OFWSYR2	OFWEMON2	OFWEYR2	JOBLOC3	OFWTYPE3	OFWSMON3	OFWSYR3	OFWEMON3	OFWEYR3	JOBLOC4	OFWTYPE4	OFWSMON4	OFWSYR4	OFWEMON4	OFWEYR4
3	212	212	10380	20380	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	282	282	10445	20445	1	3	2	-9	-9	42.0	5	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	114	114	10300	20300	1	5	2	-9	-9	133.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	157	157	10326	20326	1	5	2	-9	-9	48.0	6	1	4	2	-9	-9	7.0	2	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	206	206	10374	20374	2	3	2	-9	-9	17.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	257	257	10420	20420	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	158	158	10327	20327	2	5	2	-9	-9	15.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	148	148	10319	20319	1	4	1	-9	-9	-9.0	3	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	151	151	10321	20321	2	3	2	-9	-9	35.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	217	217	10385	20385	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
