basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	incwage	incpiece	incfarm	inclstok	incfish	incself	incrent	incboard	incbonus	incloans	incwins	incgardn	incother	inspouse	inkids	inparent	inrelat	outspous	outkids	outparen	outrelat
1	178	178	10132	20132	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
1	72	72	10042	20042	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	188	188	10138	20138	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	42	42	10017	20017	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
1	133	133	10095	20095	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	170	170	10125	20125	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	182	182	10135	20135	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	32	32	10009	20009	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	103	103	10067	20067	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	117	117	10080	20080	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	53	53	10026	20026	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	106	106	10070	20070	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
1	100	100	10064	20064	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	23	23	12735	22735	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	80	80	10048	20048	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1	76	76	10045	20045	2	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	149	149	10106	20106	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
1	27	27	10007	20007	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
1	59	59	10032	20032	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	78	78	10047	20047	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
1	104	104	10068	20068	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	118	118	10081	20081	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
1	54	54	10027	20027	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
1	33	33	10010	20010	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	70	70	10040	20040	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
1	165	165	10121	20121	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	136	136	10098	20098	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
1	158	158	10115	20115	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
1	151	151	10108	20108	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	57	57	10030	20030	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	174	174	10129	20129	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	120	120	10083	20083	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
1	107	107	10071	20071	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	90	90	10055	20055	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	123	123	10086	20086	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	63	63	10036	20036	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
1	98	98	10063	20063	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	109	109	10073	20073	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1	52	52	10025	20025	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13	328	328	11816	21816	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
13	270	270	11784	21784	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
13	319	319	11807	21807	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
13	260	260	11776	21776	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	276	276	11787	21787	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1
13	215	215	11747	21747	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
13	375	375	11858	21858	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	342	342	11828	21828	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
13	341	341	11827	21827	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13	277	277	11788	21788	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
13	81	81	11647	21647	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	149	149	11695	21695	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	456	456	11931	21931	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
13	259	259	11775	21775	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
13	236	236	11761	21761	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
13	307	307	11801	21801	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13	521	521	11977	21977	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	170	170	11709	21709	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
13	208	208	11740	21740	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
13	200	200	11735	21735	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
13	526	526	11980	21980	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	86	86	11651	21651	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13	198	198	11733	21733	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
13	241	241	11764	21764	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
13	231	231	11758	21758	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1
13	430	430	11906	21906	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13	353	353	11838	21838	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
13	87	87	11652	21652	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	247	247	11768	21768	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	219	219	11750	21750	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	347	347	11833	21833	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	263	263	11779	21779	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	425	425	11901	21901	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13	377	377	11860	21860	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
13	498	498	11964	21964	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
13	121	121	11674	21674	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
13	433	433	11909	21909	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
13	218	218	11749	21749	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0
13	134	134	11684	21684	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	398	398	11878	21878	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
13	451	451	11926	21926	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	119	119	11672	21672	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
13	372	372	11855	21855	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
13	378	378	11861	21861	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	373	373	11856	21856	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
13	351	351	11836	21836	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	315	315	11805	21805	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
13	505	505	11968	21968	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	518	518	11974	21974	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	93	93	10203	20203	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	130	130	10237	20237	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	113	113	10222	20222	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
2	27	27	10148	20148	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	120	120	10229	20229	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	123	123	10232	20232	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2	57	57	10171	20171	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	28	28	10149	20149	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	128	128	13313	23313	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
2	49	49	10165	20165	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	79	79	10192	20192	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	80	80	10193	20193	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
2	77	77	10190	20190	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	32	32	10151	20151	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0
2	60	60	10173	20173	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2	50	50	10166	20166	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2	112	112	10221	20221	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
2	111	111	10220	20220	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	98	99	10208	20208	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	35	35	10154	20154	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
2	134	134	10239	20239	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	116	116	10801	20801	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
2	121	121	10230	20230	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
2	109	109	10218	20218	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	26	26	10147	20147	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	63	63	10176	20176	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	16	16	10141	20141	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
2	47	47	10163	20163	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
31	16	16	13214	23214	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
15	44	44	12111	22111	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
8	152	152	11003	21003	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	114	114	10799	20799	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	197	197	10863	20863	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	91	91	10777	20777	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
7	103	103	10788	20788	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
7	62	62	10753	20753	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	142	142	10821	20821	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	181	181	10850	20850	2	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1
7	89	89	10775	20775	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	204	204	10868	20868	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7	209	209	10873	20873	2	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
7	40	40	10737	20737	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7	143	143	10822	20822	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	146	146	10824	20824	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	152	152	10828	20828	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	63	63	10754	20754	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	75	75	10764	20764	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	84	84	10771	20771	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
7	134	134	10815	20815	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
16	114	114	12242	22242	2	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
16	135	135	12259	22259	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
16	79	79	12213	22213	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16	85	85	12217	22217	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16	41	41	12185	22185	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
16	149	149	12273	22273	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
16	162	162	12282	22282	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
16	112	112	12241	22241	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16	147	147	12271	22271	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
16	140	140	12264	22264	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
16	128	128	12255	22255	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
16	138	138	12262	22262	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
1	153	153	10110	20110	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
1	160	160	10117	20117	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	164	164	10120	20120	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
