basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moperson	dayprson	yrperson	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
8	109	109	333	3140	109	1	10965	4	8	2005	3	4	4	6	-9	1	1	1986	19	1	2	0	1	-9
8	109	109	333	3140	109	1	10965	4	8	2005	4	5	5	7	-9	2	5	1989	15	1	2	0	0	0
8	109	109	333	3140	109	1	10965	4	8	2005	5	5	5	42	-9	2	9	1993	11	1	4	1	0	0
8	109	109	333	3140	109	1	10965	4	8	2005	6	4	4	41	-9	1	10	1998	6	1	0	0	0	0
8	109	109	333	3140	109	1	10965	4	8	2005	7	5	5	34	0	2	8	1983	21	1	11	0	0	0
8	109	109	333	3140	109	1	10965	4	8	2005	8	19	19	1	0	1	3	1987	18	1	3	0	0	0
10	122	122	10	2485	122	2	11255	2	11	2005	1	0	1	2	-9	1	6	1944	60	1	6	0	1	-9
10	122	122	10	2485	122	2	11255	2	11	2005	2	1	0	3	-9	2	3	1954	50	1	3	0	1	-9
8	44	44	8	44	44	2	10919	2	15	2005	4	5	5	7	-9	2	11	1989	15	1	9	1	0	0
8	44	44	8	44	44	2	10919	2	15	2005	5	5	5	7	0	2	8	1979	25	1	8	0	1	-9
8	44	44	8	44	44	2	10919	2	15	2005	6	9	9	16	0	2	3	1997	7	1	0	1	0	0
8	44	44	8	44	44	2	10919	2	15	2005	7	9	9	16	0	2	7	1999	5	1	-9	-9	-9	-9
8	44	44	8	44	44	2	10919	2	15	2005	8	9	9	16	0	2	6	2001	3	1	-9	-9	-9	-9
8	44	44	8	44	44	2	10919	2	15	2005	9	9	9	16	0	2	3	2004	0	1	-9	-9	-9	-9
8	44	44	8	44	44	2	10919	2	15	2005	10	19	19	21	0	1	2	1972	33	1	13	0	1	-9
8	114	114	291	3136	114	1	10970	2	19	2005	1	0	1	2	-9	1	11	1956	48	1	11	0	1	-9
8	114	114	291	3136	114	1	10970	2	19	2005	2	1	0	3	-9	2	5	1959	45	1	6	0	0	0
8	114	114	291	3136	114	1	10970	2	19	2005	3	4	4	6	-9	1	4	1980	24	1	16	0	0	0
8	114	114	291	3136	114	1	10970	2	19	2005	4	4	4	34	-9	1	11	1983	21	1	12	0	0	0
8	114	114	291	3136	114	1	10970	2	19	2005	5	4	4	6	-9	1	11	1985	19	1	11	0	1	-9
3	314	314	3	314	314	1	10471	2	13	2005	1	0	0	3	-9	2	12	1953	51	1	17	0	1	-9
3	314	314	3	314	314	1	10471	2	13	2005	2	5	5	34	-9	2	3	1984	20	1	13	1	0	0
3	314	314	3	314	314	1	10471	2	13	2005	3	4	4	6	0	1	8	1980	24	1	14	0	0	0
3	314	314	3	314	314	1	10471	2	13	2005	4	20	20	22	0	2	7	1980	24	1	15	0	0	0
3	314	314	3	314	314	1	10471	2	13	2005	5	9	9	16	0	2	10	2001	3	1	-9	-9	-9	-9
8	129	129	266	129	129	1	10983	3	11	2005	1	0	1	2	-9	1	12	1959	45	1	4	0	1	-9
8	129	129	266	129	129	1	10983	3	11	2005	2	1	0	3	-9	2	8	1962	42	1	5	0	1	-9
8	129	129	266	129	129	1	10983	3	11	2005	3	4	4	34	-9	1	1	1984	21	1	12	0	0	0
8	129	129	266	129	129	1	10983	3	11	2005	4	5	5	7	-9	2	2	1986	19	1	11	0	1	-9
8	129	129	266	129	129	1	10983	3	11	2005	5	18	3	11	0	2	10	1948	56	1	2	0	0	0
8	129	129	266	129	129	1	10983	3	11	2005	6	27	16	14	0	2	5	1991	13	1	5	1	0	0
8	26	26	8	26	26	1	10904	3	3	2005	1	0	1	2	-9	1	2	1959	46	1	11	0	1	-9
8	26	26	8	26	26	1	10904	3	3	2005	2	1	0	3	-9	2	10	1960	44	1	8	0	0	0
8	26	26	8	26	26	1	10904	3	3	2005	3	5	5	7	-9	2	4	1978	26	1	15	0	1	-9
8	26	26	8	26	26	1	10904	3	3	2005	4	5	5	7	-9	2	7	1980	24	1	15	0	1	-9
8	26	26	8	26	26	1	10904	3	3	2005	5	5	5	34	-9	2	6	1983	21	1	15	0	1	-9
8	26	26	8	26	26	1	10904	3	3	2005	6	5	5	7	-9	2	10	1990	14	1	8	1	0	0
3	219	219	3	219	219	1	13314	1	20	2005	1	0	1	2	-9	1	11	1958	46	1	2	0	1	-9
3	219	219	3	219	219	1	13314	1	20	2005	2	1	0	3	-9	2	6	1959	45	1	6	0	0	0
3	219	219	3	219	219	1	13314	1	20	2005	3	5	5	351	-9	2	11	1983	21	1	10	0	1	-9
3	219	219	3	219	219	1	13314	1	20	2005	4	4	4	352	-9	1	11	1983	21	1	3	0	0	0
3	219	219	3	219	219	1	13314	1	20	2005	5	5	5	7	-9	2	1	1994	10	1	4	1	1	-9
3	219	219	3	219	219	1	13314	1	20	2005	6	5	5	7	-9	2	6	2004	0	1	-9	-9	-9	-9
3	219	219	3	219	219	1	13314	1	20	2005	7	5	5	7	0	2	4	1982	22	1	11	0	1	-9
3	219	219	3	219	219	1	13314	1	20	2005	8	19	19	21	0	1	1	1972	33	1	11	0	1	-9
8	50	50	8	3288	50	2	10923	2	22	2005	1	0	1	2	-9	1	10	1960	44	1	5	0	1	-9
8	50	50	8	3288	50	2	10923	2	22	2005	2	1	0	3	-9	2	12	1958	46	1	6	0	0	0
8	50	50	8	3288	50	2	10923	2	22	2005	3	5	5	7	-9	2	4	1985	19	1	9	0	0	0
8	50	50	8	3288	50	2	10923	2	22	2005	4	4	4	6	0	1	1	1982	23	1	9	0	1	-9
8	50	50	8	3288	50	2	10923	2	22	2005	5	20	20	22	0	2	12	1982	22	1	5	0	1	-9
8	50	50	8	3288	50	2	10923	2	22	2005	6	8	8	15	0	1	1	2000	5	1	-9	-9	-9	-9
8	50	50	8	3288	50	2	10923	2	22	2005	7	8	8	15	0	1	10	2001	3	1	-9	-9	-9	-9
8	50	50	8	3288	50	2	10923	2	22	2005	8	8	8	15	0	1	2	2004	1	1	-9	-9	-9	-9
